epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,113.171,1.07225,1.04397,1.16041,0.67419,0.4824,0.54043,0.37774,1.21654,1.18956,1.24478,0.00012804,0.00012804,0.00012804
2,186.882,1.11291,1.0927,1.18336,0.62645,0.47199,0.51037,0.35139,1.25199,1.28046,1.27684,0.000251297,0.000251297,0.000251297
3,241.7,1.14596,1.15389,1.20314,0.59569,0.45768,0.49978,0.33586,1.30044,1.31779,1.31485,0.000369472,0.000369472,0.000369472
4,285.179,1.16946,1.20534,1.22214,0.60683,0.45032,0.48688,0.32893,1.3019,1.34111,1.3099,0.000362131,0.000362131,0.000362131
5,326.76,1.17431,1.21356,1.22518,0.58804,0.45869,0.48683,0.32943,1.30157,1.37573,1.31525,0.000354508,0.000354508,0.000354508
6,369.128,1.17333,1.21293,1.22764,0.60754,0.45972,0.49144,0.33883,1.2859,1.30366,1.32138,0.000346885,0.000346885,0.000346885
7,411.194,1.16628,1.20438,1.22376,0.62373,0.46555,0.50114,0.33786,1.30106,1.33863,1.31004,0.000339262,0.000339262,0.000339262
8,453.319,1.1684,1.19721,1.22576,0.62481,0.45448,0.49684,0.33738,1.26898,1.29546,1.28854,0.000331639,0.000331639,0.000331639
9,495.612,1.16108,1.18938,1.2139,0.65055,0.4449,0.4938,0.33954,1.27211,1.3013,1.29797,0.000324016,0.000324016,0.000324016
10,537.633,1.1595,1.17398,1.21373,0.6163,0.46895,0.50225,0.34242,1.25222,1.27489,1.28972,0.000316393,0.000316393,0.000316393
11,579.147,1.15622,1.17101,1.21461,0.60761,0.46942,0.50503,0.34938,1.27154,1.29009,1.2945,0.00030877,0.00030877,0.00030877
12,621.308,1.15723,1.16857,1.21108,0.62878,0.47102,0.51417,0.35256,1.26601,1.27663,1.28718,0.000301147,0.000301147,0.000301147
13,662.752,1.13111,1.14948,1.20222,0.64719,0.44317,0.50893,0.35379,1.26002,1.26456,1.28791,0.000293524,0.000293524,0.000293524
14,704.452,1.14628,1.1549,1.20925,0.6161,0.47578,0.51729,0.35668,1.25869,1.24877,1.28367,0.000285901,0.000285901,0.000285901
15,746.479,1.13182,1.12108,1.19523,0.62972,0.47633,0.51731,0.35368,1.27428,1.27372,1.29623,0.000278278,0.000278278,0.000278278
16,788.252,1.12199,1.1249,1.19641,0.66144,0.46753,0.51359,0.3525,1.25291,1.24541,1.28093,0.000270655,0.000270655,0.000270655
17,829.897,1.12354,1.11252,1.18802,0.61568,0.48192,0.51698,0.3572,1.26124,1.25292,1.28543,0.000263032,0.000263032,0.000263032
18,871.646,1.12742,1.11307,1.19503,0.62024,0.48773,0.53057,0.3634,1.2463,1.23689,1.28421,0.000255409,0.000255409,0.000255409
19,914.246,1.11682,1.09679,1.18488,0.63952,0.47751,0.51643,0.35495,1.2446,1.23805,1.27965,0.000247786,0.000247786,0.000247786
20,956.216,1.10828,1.08198,1.18355,0.6452,0.48502,0.52755,0.36465,1.24064,1.21532,1.27479,0.000240163,0.000240163,0.000240163
21,998.385,1.11137,1.09303,1.18572,0.63368,0.48327,0.52882,0.36777,1.23434,1.23021,1.26746,0.00023254,0.00023254,0.00023254
22,1040.1,1.10283,1.07003,1.18084,0.64231,0.46764,0.52107,0.36223,1.23117,1.22336,1.26579,0.000224917,0.000224917,0.000224917
23,1082.06,1.10572,1.06989,1.18181,0.61694,0.49344,0.52769,0.3665,1.23447,1.22339,1.27406,0.000217294,0.000217294,0.000217294
24,1123.53,1.10036,1.06126,1.17558,0.60055,0.49673,0.52673,0.3681,1.22517,1.20717,1.25676,0.000209671,0.000209671,0.000209671
25,1165.62,1.08396,1.04556,1.16945,0.65626,0.47996,0.52379,0.36695,1.22139,1.21819,1.26023,0.000202048,0.000202048,0.000202048
26,1207.2,1.0856,1.04627,1.16774,0.66166,0.47561,0.52952,0.36839,1.22078,1.20168,1.25115,0.000194425,0.000194425,0.000194425
