epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,131.062,1.26641,3.11045,1.27017,0.50605,0.35694,0.35258,0.23567,1.25283,1.67947,1.28196,0.000128037,0.000128037,0.000128037
2,176.66,1.30753,1.93354,1.31137,0.51694,0.39964,0.4048,0.27056,1.3093,1.60859,1.32736,0.000251294,0.000251294,0.000251294
3,200.688,1.32409,1.83114,1.33207,0.51267,0.397,0.40501,0.26115,1.36563,1.60729,1.36861,0.000369469,0.000369469,0.000369469
4,224.62,1.31582,1.74558,1.32967,0.53731,0.39306,0.41094,0.27006,1.35085,1.59756,1.34951,0.000362131,0.000362131,0.000362131
5,248.03,1.30616,1.66245,1.32543,0.55948,0.41288,0.43471,0.28532,1.35435,1.48783,1.33912,0.000354508,0.000354508,0.000354508
6,272.081,1.29888,1.61737,1.31459,0.55671,0.4043,0.42284,0.28133,1.33465,1.49913,1.33713,0.000346885,0.000346885,0.000346885
7,295.173,1.28917,1.57322,1.31079,0.59905,0.42257,0.46991,0.31356,1.31633,1.44086,1.33161,0.000339262,0.000339262,0.000339262
8,318.69,1.27353,1.5175,1.29869,0.5546,0.43386,0.4672,0.30911,1.32307,1.44088,1.33578,0.000331639,0.000331639,0.000331639
9,342.374,1.27212,1.48671,1.29235,0.56649,0.43632,0.46861,0.31783,1.29542,1.41634,1.31085,0.000324016,0.000324016,0.000324016
10,365.704,1.24832,1.45956,1.28771,0.58197,0.43544,0.47562,0.31999,1.28949,1.39843,1.31574,0.000316393,0.000316393,0.000316393
11,389.224,1.25284,1.43262,1.28165,0.60597,0.43907,0.48628,0.33289,1.28349,1.36578,1.30359,0.00030877,0.00030877,0.00030877
12,413.138,1.23192,1.40122,1.27703,0.61508,0.42977,0.47801,0.32912,1.28985,1.37087,1.31216,0.000301147,0.000301147,0.000301147
13,436.528,1.23079,1.39469,1.27433,0.59974,0.45401,0.48836,0.33402,1.27297,1.3452,1.28922,0.000293524,0.000293524,0.000293524
14,460.327,1.22046,1.36776,1.26746,0.61297,0.45549,0.49224,0.33432,1.28584,1.35249,1.30371,0.000285901,0.000285901,0.000285901
15,484.219,1.20653,1.34668,1.25884,0.61814,0.4567,0.49104,0.33978,1.27101,1.3256,1.29469,0.000278278,0.000278278,0.000278278
