epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
16,508.065,1.20676,1.3185,1.25249,0.6495,0.46136,0.50758,0.34925,1.27022,1.3255,1.29408,0.000270655,0.000270655,0.000270655
17,531.251,1.2049,1.32017,1.25075,0.61203,0.46465,0.50448,0.34649,1.25775,1.30931,1.28128,0.000263032,0.000263032,0.000263032
18,554.698,1.19601,1.29689,1.24703,0.59403,0.46171,0.49434,0.33644,1.24951,1.31841,1.27515,0.000255409,0.000255409,0.000255409
19,578.355,1.18021,1.2728,1.23462,0.57315,0.47436,0.50619,0.34751,1.24658,1.28276,1.2791,0.000247786,0.000247786,0.000247786
20,602.149,1.17172,1.2621,1.22744,0.61806,0.46885,0.50833,0.35072,1.25351,1.28488,1.27396,0.000240163,0.000240163,0.000240163
21,625.74,1.16629,1.24915,1.23114,0.62889,0.46557,0.50846,0.34752,1.23745,1.28469,1.26146,0.00023254,0.00023254,0.00023254
22,648.856,1.16935,1.23133,1.22663,0.58663,0.49755,0.51998,0.35909,1.24057,1.26108,1.26409,0.000224917,0.000224917,0.000224917
23,672.822,1.16055,1.22391,1.22554,0.61169,0.48107,0.52069,0.36358,1.2388,1.24322,1.2633,0.000217294,0.000217294,0.000217294
24,696.206,1.16091,1.21373,1.22096,0.65951,0.46304,0.52718,0.3662,1.22955,1.23068,1.24775,0.000209671,0.000209671,0.000209671
25,719.64,1.15646,1.20021,1.2173,0.63844,0.4698,0.52816,0.36302,1.23277,1.22811,1.25472,0.000202048,0.000202048,0.000202048
26,743.253,1.13944,1.18277,1.20875,0.62533,0.49489,0.53216,0.36999,1.21579,1.23058,1.2478,0.000194425,0.000194425,0.000194425
27,767.346,1.13687,1.18234,1.20883,0.63585,0.46724,0.5246,0.36046,1.22959,1.23939,1.24923,0.000186802,0.000186802,0.000186802
28,791.367,1.13849,1.17353,1.20789,0.62409,0.47976,0.52474,0.36468,1.21875,1.2284,1.25711,0.000179179,0.000179179,0.000179179
29,814.772,1.12197,1.1524,1.19873,0.6194,0.49809,0.53553,0.37102,1.2157,1.20555,1.23857,0.000171556,0.000171556,0.000171556
30,837.742,1.11868,1.13946,1.19469,0.64843,0.48478,0.52965,0.36874,1.21069,1.20794,1.23841,0.000163933,0.000163933,0.000163933
31,861.167,1.11977,1.13596,1.19405,0.63582,0.48226,0.53385,0.37426,1.20499,1.19513,1.23745,0.00015631,0.00015631,0.00015631
32,884.265,1.11466,1.12443,1.19103,0.64268,0.48162,0.53476,0.37146,1.20439,1.20354,1.24056,0.000148687,0.000148687,0.000148687
33,906.6,1.11466,1.11407,1.18599,0.63306,0.49132,0.53394,0.37255,1.201,1.18302,1.23516,0.000141064,0.000141064,0.000141064
34,930.128,1.09486,1.09896,1.18448,0.62251,0.50186,0.5398,0.3747,1.19685,1.17336,1.23994,0.000133441,0.000133441,0.000133441
35,953.709,1.09144,1.08757,1.17613,0.66529,0.48913,0.54138,0.37854,1.19869,1.17917,1.23823,0.000125818,0.000125818,0.000125818
36,977.915,1.08774,1.08075,1.17067,0.64163,0.49486,0.54323,0.37948,1.19261,1.17157,1.22565,0.000118195,0.000118195,0.000118195
37,1001.76,1.09107,1.07809,1.17446,0.64374,0.50975,0.54251,0.3802,1.18578,1.15749,1.21996,0.000110572,0.000110572,0.000110572
38,1024.7,1.08436,1.07124,1.1698,0.68289,0.4897,0.5496,0.38311,1.19156,1.16298,1.22256,0.000102949,0.000102949,0.000102949
39,1048.49,1.06958,1.04375,1.16114,0.63039,0.50878,0.5498,0.3875,1.18226,1.15431,1.22534,9.5326e-05,9.5326e-05,9.5326e-05
40,1072.78,1.06358,1.04253,1.16193,0.63046,0.51204,0.55037,0.38571,1.19097,1.15055,1.22554,8.7703e-05,8.7703e-05,8.7703e-05
41,1096.61,1.0604,0.99151,1.15012,0.67268,0.48743,0.55055,0.38475,1.19284,1.16498,1.22659,8.008e-05,8.008e-05,8.008e-05
42,1119.52,1.04449,0.95549,1.13448,0.67178,0.49679,0.55147,0.38436,1.18973,1.16243,1.22139,7.2457e-05,7.2457e-05,7.2457e-05
43,1142.34,1.04132,0.93798,1.13217,0.65693,0.50486,0.55872,0.3942,1.18019,1.15199,1.21819,6.4834e-05,6.4834e-05,6.4834e-05
44,1165.64,1.03619,0.92855,1.12848,0.66828,0.51153,0.55546,0.39069,1.18328,1.15674,1.22463,5.7211e-05,5.7211e-05,5.7211e-05
45,1188.16,1.02116,0.90931,1.12044,0.65355,0.52047,0.55746,0.39338,1.18397,1.14134,1.2236,4.9588e-05,4.9588e-05,4.9588e-05
46,1211.04,1.00569,0.89741,1.1128,0.63182,0.5297,0.55878,0.39363,1.17871,1.1401,1.22179,4.1965e-05,4.1965e-05,4.1965e-05
47,1233.83,1.00718,0.88858,1.1113,0.65998,0.512,0.5598,0.39408,1.17495,1.13879,1.21598,3.4342e-05,3.4342e-05,3.4342e-05
48,1256.25,1.00402,0.87978,1.10868,0.66252,0.5129,0.55731,0.39508,1.17911,1.13985,1.21637,2.6719e-05,2.6719e-05,2.6719e-05
49,1279.85,0.98953,0.86964,1.10129,0.65859,0.52003,0.55886,0.39422,1.17422,1.14011,1.2157,1.9096e-05,1.9096e-05,1.9096e-05
50,1303.16,0.99106,0.8706,1.09959,0.66086,0.52593,0.56375,0.3972,1.17336,1.13994,1.21368,1.1473e-05,1.1473e-05,1.1473e-05
