epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,2132.56,1.14248,1.37689,1.19984,0.61412,0.48001,0.51203,0.35589,1.18688,1.33329,1.20306,2.92168e-05,2.92168e-05,2.92168e-05
40,2186.38,1.13834,1.37256,1.20127,0.62365,0.47303,0.51029,0.35451,1.18923,1.33383,1.20738,2.68804e-05,2.68804e-05,2.68804e-05
41,2240.52,1.13486,1.38007,1.18985,0.6121,0.45751,0.49442,0.34111,1.19758,1.3684,1.21267,2.4544e-05,2.4544e-05,2.4544e-05
42,2293.94,1.11425,1.31954,1.17725,0.60225,0.46577,0.49753,0.34529,1.19406,1.35668,1.21054,2.22076e-05,2.22076e-05,2.22076e-05
43,2347.23,1.11294,1.30496,1.17315,0.59845,0.46882,0.49956,0.34632,1.19173,1.34823,1.2078,1.98712e-05,1.98712e-05,1.98712e-05
44,2400.29,1.10292,1.28855,1.16876,0.6107,0.46657,0.50322,0.34933,1.18807,1.34329,1.20531,1.75348e-05,1.75348e-05,1.75348e-05
45,2454.05,1.10357,1.27826,1.1649,0.60832,0.46818,0.50174,0.34891,1.18974,1.34441,1.20689,1.51984e-05,1.51984e-05,1.51984e-05
46,2507.23,1.1015,1.27011,1.16451,0.60938,0.47169,0.50453,0.35028,1.19027,1.33685,1.2058,1.2862e-05,1.2862e-05,1.2862e-05
47,2559.71,1.09914,1.2653,1.16491,0.60621,0.47275,0.50379,0.34966,1.18912,1.34003,1.20509,1.05256e-05,1.05256e-05,1.05256e-05
48,2612.4,1.0941,1.25584,1.16005,0.61738,0.46658,0.50319,0.35015,1.18766,1.33655,1.20505,8.1892e-06,8.1892e-06,8.1892e-06
49,2665.72,1.089,1.24895,1.15885,0.61425,0.47294,0.50452,0.35072,1.1865,1.33442,1.2042,5.8528e-06,5.8528e-06,5.8528e-06
50,2719.48,1.0921,1.25086,1.15793,0.61174,0.47013,0.50555,0.35143,1.18621,1.33442,1.20425,3.5164e-06,3.5164e-06,3.5164e-06
