epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.8337,1.21944,4.56142,1.22917,0.43364,0.05448,0.07665,0.05837,1.19592,3.60607,1.18059,3.92597e-05,3.92597e-05,3.92597e-05
2,117.901,1.33455,3.35869,1.30994,0.50407,0.26581,0.26777,0.18978,1.32554,2.39871,1.28825,7.70369e-05,7.70369e-05,7.70369e-05
3,170.342,1.35331,2.56402,1.33967,0.555,0.35396,0.36557,0.25517,1.27179,1.92525,1.27455,0.000113256,0.000113256,0.000113256
4,222.461,1.32879,2.22121,1.3266,0.58765,0.39467,0.40718,0.27803,1.26037,1.74836,1.26258,0.000110991,0.000110991,0.000110991
5,274.421,1.30383,2.06006,1.31261,0.55758,0.41363,0.4238,0.2904,1.23935,1.66046,1.25174,0.000108654,0.000108654,0.000108654
6,326.472,1.28226,1.97365,1.3015,0.59238,0.41291,0.4356,0.29645,1.24,1.61092,1.25243,0.000106318,0.000106318,0.000106318
7,378.231,1.27355,1.89899,1.2919,0.60818,0.42815,0.44948,0.30464,1.23915,1.56606,1.25121,0.000103982,0.000103982,0.000103982
8,429.988,1.25954,1.8543,1.28644,0.57434,0.43675,0.45808,0.31251,1.23819,1.55021,1.25439,0.000101645,0.000101645,0.000101645
9,481.901,1.2502,1.80573,1.27856,0.57645,0.43989,0.45943,0.31203,1.22965,1.52233,1.24712,9.93088e-05,9.93088e-05,9.93088e-05
10,533.519,1.24335,1.78415,1.27453,0.57532,0.44075,0.4672,0.31992,1.22753,1.51089,1.24607,9.69724e-05,9.69724e-05,9.69724e-05
11,585.127,1.23933,1.74469,1.26938,0.56315,0.45554,0.47186,0.32018,1.22438,1.48801,1.23764,9.4636e-05,9.4636e-05,9.4636e-05
12,636.033,1.23654,1.71434,1.26658,0.56793,0.45142,0.47194,0.32281,1.22408,1.47647,1.2362,9.22996e-05,9.22996e-05,9.22996e-05
13,688.095,1.22612,1.69652,1.26097,0.59887,0.44639,0.47728,0.32826,1.21467,1.46638,1.23379,8.99632e-05,8.99632e-05,8.99632e-05
14,740.263,1.22515,1.67,1.25699,0.58158,0.45947,0.48178,0.33073,1.21782,1.44563,1.23678,8.76268e-05,8.76268e-05,8.76268e-05
15,792.204,1.21955,1.65077,1.25379,0.59013,0.45938,0.47962,0.32868,1.21945,1.44882,1.23945,8.52904e-05,8.52904e-05,8.52904e-05
16,844.211,1.2134,1.6278,1.24898,0.5814,0.46849,0.48419,0.33319,1.20997,1.4294,1.22898,8.2954e-05,8.2954e-05,8.2954e-05
17,896.185,1.20704,1.61527,1.24904,0.59762,0.45562,0.48353,0.33302,1.21003,1.43576,1.2265,8.06176e-05,8.06176e-05,8.06176e-05
18,948.29,1.20999,1.6005,1.24598,0.59432,0.46347,0.48994,0.33733,1.20451,1.42213,1.22621,7.82812e-05,7.82812e-05,7.82812e-05
19,1000.17,1.19984,1.58797,1.24419,0.61278,0.45954,0.4931,0.339,1.20781,1.40798,1.22443,7.59448e-05,7.59448e-05,7.59448e-05
20,1052.11,1.19969,1.57381,1.24168,0.61596,0.45888,0.49696,0.34126,1.20377,1.40514,1.22249,7.36084e-05,7.36084e-05,7.36084e-05
21,1104.14,1.19606,1.55951,1.23855,0.60158,0.46242,0.49365,0.33919,1.2039,1.40758,1.22094,7.1272e-05,7.1272e-05,7.1272e-05
22,1156.06,1.18635,1.53602,1.23422,0.6156,0.45655,0.49218,0.33925,1.20798,1.41049,1.22724,6.89356e-05,6.89356e-05,6.89356e-05
23,1208.04,1.19011,1.52535,1.23459,0.60221,0.46883,0.49717,0.34452,1.19784,1.38408,1.21713,6.65992e-05,6.65992e-05,6.65992e-05
24,1260.06,1.18074,1.52019,1.23125,0.60291,0.47058,0.49974,0.34382,1.19724,1.38525,1.21561,6.42628e-05,6.42628e-05,6.42628e-05
25,1311.96,1.17387,1.49378,1.22161,0.62173,0.4666,0.50159,0.34647,1.2009,1.3886,1.22085,6.19264e-05,6.19264e-05,6.19264e-05
26,1363.94,1.17832,1.4961,1.22785,0.61357,0.46527,0.50189,0.34457,1.19891,1.38439,1.22216,5.959e-05,5.959e-05,5.959e-05
27,1415.97,1.18179,1.48411,1.22376,0.61484,0.4626,0.49891,0.34369,1.19758,1.37842,1.21572,5.72536e-05,5.72536e-05,5.72536e-05
28,1467.81,1.1686,1.46687,1.2224,0.61304,0.46598,0.50153,0.34656,1.19269,1.36928,1.21222,5.49172e-05,5.49172e-05,5.49172e-05
29,1519.7,1.16692,1.45746,1.21782,0.58382,0.48356,0.50472,0.34939,1.19504,1.36805,1.21154,5.25808e-05,5.25808e-05,5.25808e-05
30,1571.8,1.16638,1.44828,1.21418,0.61778,0.47363,0.50361,0.34793,1.19214,1.36158,1.20693,5.02444e-05,5.02444e-05,5.02444e-05
31,1623.63,1.16261,1.44296,1.21316,0.61636,0.46977,0.50316,0.34825,1.19148,1.36511,1.21109,4.7908e-05,4.7908e-05,4.7908e-05
32,1675.57,1.16291,1.43247,1.21425,0.6138,0.47489,0.50454,0.35007,1.18997,1.35943,1.21107,4.55716e-05,4.55716e-05,4.55716e-05
33,1727.61,1.16169,1.42495,1.21298,0.61498,0.47787,0.51201,0.35459,1.18567,1.35345,1.20643,4.32352e-05,4.32352e-05,4.32352e-05
34,1779.61,1.15726,1.41725,1.21008,0.62046,0.47359,0.50886,0.35136,1.19456,1.3569,1.21074,4.08988e-05,4.08988e-05,4.08988e-05
35,1831.57,1.15559,1.41092,1.20641,0.62302,0.47307,0.51009,0.35391,1.18813,1.34751,1.2037,3.85624e-05,3.85624e-05,3.85624e-05
36,1883.49,1.15235,1.40779,1.20883,0.59923,0.48523,0.50966,0.35372,1.19061,1.3497,1.20563,3.6226e-05,3.6226e-05,3.6226e-05
37,1935.41,1.1466,1.39884,1.20396,0.60367,0.48808,0.51222,0.35433,1.18642,1.33932,1.20282,3.38896e-05,3.38896e-05,3.38896e-05
38,1987.47,1.14816,1.39436,1.20448,0.61748,0.47698,0.51071,0.35251,1.19071,1.34624,1.20494,3.15532e-05,3.15532e-05,3.15532e-05
39,2039.26,1.14392,1.37963,1.19919,0.61707,0.47832,0.51319,0.35619,1.18658,1.34145,1.20236,2.92168e-05,2.92168e-05,2.92168e-05
40,2091.07,1.13845,1.37476,1.20036,0.619,0.48561,0.51428,0.35598,1.18528,1.33819,1.20357,2.68804e-05,2.68804e-05,2.68804e-05
41,2142.81,1.13427,1.37967,1.18844,0.5891,0.47847,0.49817,0.34377,1.19723,1.36694,1.21055,2.4544e-05,2.4544e-05,2.4544e-05
42,2193.56,1.11443,1.32359,1.17757,0.6211,0.46837,0.50252,0.3471,1.19186,1.35784,1.20843,2.22076e-05,2.22076e-05,2.22076e-05
43,2244.44,1.11146,1.30506,1.17264,0.62985,0.47351,0.50769,0.35042,1.19279,1.34748,1.20802,1.98712e-05,1.98712e-05,1.98712e-05
44,2295.12,1.10114,1.28856,1.16755,0.61765,0.47588,0.5079,0.35126,1.18911,1.34617,1.20481,1.75348e-05,1.75348e-05,1.75348e-05
45,2345.91,1.10353,1.27808,1.16375,0.61771,0.47706,0.50893,0.35241,1.18848,1.34624,1.20435,1.51984e-05,1.51984e-05,1.51984e-05
46,2396.59,1.1015,1.27228,1.16371,0.62873,0.47411,0.51152,0.35412,1.18694,1.34099,1.20209,1.2862e-05,1.2862e-05,1.2862e-05
47,2447.4,1.0986,1.26749,1.1637,0.61803,0.48087,0.5107,0.35321,1.18634,1.34267,1.20267,1.05256e-05,1.05256e-05,1.05256e-05
48,2498.04,1.09296,1.25422,1.15942,0.63228,0.47285,0.51139,0.35353,1.1872,1.34092,1.20343,8.1892e-06,8.1892e-06,8.1892e-06
49,2548.93,1.08867,1.25056,1.15914,0.62093,0.4808,0.51238,0.35444,1.18651,1.33857,1.2028,5.8528e-06,5.8528e-06,5.8528e-06
50,2599.51,1.09259,1.25213,1.15778,0.63502,0.47571,0.51288,0.35497,1.18555,1.33679,1.2028,3.5164e-06,3.5164e-06,3.5164e-06
