epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,288.435,1.2228,4.56026,1.22943,0.40564,0.0534,0.07259,0.05536,1.2034,3.6622,1.17909,3.92597e-05,3.92597e-05,3.92597e-05
2,344.06,1.34202,3.34492,1.31035,0.53389,0.25634,0.26665,0.19037,1.3084,2.49141,1.27853,7.70369e-05,7.70369e-05,7.70369e-05
3,398.253,1.35506,2.56297,1.34079,0.56396,0.34878,0.35916,0.24995,1.27536,2.06803,1.27396,0.000113256,0.000113256,0.000113256
4,451.884,1.32819,2.21611,1.32619,0.57429,0.38788,0.40104,0.27295,1.25599,1.87258,1.25994,0.000110991,0.000110991,0.000110991
5,505.562,1.30434,2.05434,1.31293,0.54625,0.4098,0.42029,0.28656,1.23695,1.80645,1.25067,0.000108654,0.000108654,0.000108654
6,564.146,1.28173,1.96891,1.30044,0.58059,0.39992,0.42567,0.29049,1.24072,1.7512,1.24973,0.000106318,0.000106318,0.000106318
7,617.579,1.27343,1.89434,1.29346,0.53922,0.43258,0.43979,0.29978,1.2323,1.70463,1.247,0.000103982,0.000103982,0.000103982
8,743.22,1.25774,1.85212,1.28398,0.53075,0.43757,0.44498,0.30218,1.23217,1.70396,1.24111,0.000101645,0.000101645,0.000101645
9,797.066,1.24939,1.8002,1.2791,0.59921,0.4255,0.45355,0.30555,1.23065,1.68183,1.24187,9.93088e-05,9.93088e-05,9.93088e-05
10,851.341,1.24418,1.77998,1.27483,0.56641,0.43817,0.45978,0.31339,1.22867,1.669,1.24192,9.69724e-05,9.69724e-05,9.69724e-05
11,903.988,1.23852,1.73861,1.26815,0.56616,0.43715,0.45902,0.31373,1.22101,1.64155,1.22987,9.4636e-05,9.4636e-05,9.4636e-05
12,956.701,1.23606,1.71142,1.26582,0.57618,0.43804,0.46565,0.3191,1.21493,1.62757,1.22797,9.22996e-05,9.22996e-05,9.22996e-05
13,1009.35,1.22491,1.69342,1.26096,0.59117,0.43619,0.46909,0.32261,1.21234,1.61599,1.22973,8.99632e-05,8.99632e-05,8.99632e-05
14,1062.2,1.22313,1.66613,1.25606,0.5516,0.45212,0.46762,0.32268,1.21875,1.61158,1.23272,8.76268e-05,8.76268e-05,8.76268e-05
15,1114.68,1.21963,1.64788,1.25441,0.57024,0.4521,0.471,0.32209,1.21841,1.60826,1.22955,8.52904e-05,8.52904e-05,8.52904e-05
16,1167.23,1.21087,1.62259,1.24899,0.58801,0.44042,0.47235,0.32393,1.21134,1.6259,1.22618,8.2954e-05,8.2954e-05,8.2954e-05
17,1219.5,1.20481,1.61099,1.25154,0.58406,0.45136,0.47564,0.32736,1.20431,1.5945,1.22155,8.06176e-05,8.06176e-05,8.06176e-05
18,1271.95,1.21046,1.5985,1.24716,0.56852,0.44969,0.47588,0.32931,1.20776,1.59796,1.22289,7.82812e-05,7.82812e-05,7.82812e-05
19,1324.24,1.19885,1.58425,1.24548,0.5935,0.45397,0.48087,0.33024,1.2059,1.59178,1.22142,7.59448e-05,7.59448e-05,7.59448e-05
20,1376.7,1.1981,1.56892,1.24254,0.60025,0.44455,0.48338,0.33294,1.20738,1.57304,1.22052,7.36084e-05,7.36084e-05,7.36084e-05
21,1429.36,1.19623,1.55824,1.23959,0.5851,0.45133,0.48058,0.33077,1.21076,1.58224,1.22306,7.1272e-05,7.1272e-05,7.1272e-05
22,2791.33,1.18804,1.53212,1.2349,0.59829,0.44446,0.48345,0.33183,1.2119,1.5822,1.22238,6.89356e-05,6.89356e-05,6.89356e-05
23,3601.9,1.18864,1.52513,1.23312,0.59211,0.45007,0.48338,0.33422,1.20131,1.56964,1.21563,6.65992e-05,6.65992e-05,6.65992e-05
24,3654.64,1.1801,1.51738,1.23155,0.61628,0.44523,0.48642,0.33513,1.20113,1.5698,1.21547,6.42628e-05,6.42628e-05,6.42628e-05
25,3707.02,1.17537,1.49567,1.22311,0.60824,0.4569,0.48982,0.33672,1.2104,1.56972,1.21949,6.19264e-05,6.19264e-05,6.19264e-05
26,3760.08,1.17846,1.49463,1.22744,0.61477,0.46241,0.49291,0.33941,1.19588,1.55348,1.21265,5.959e-05,5.959e-05,5.959e-05
27,3812.93,1.18069,1.48126,1.2226,0.60192,0.45693,0.49116,0.33897,1.20287,1.5606,1.21167,5.72536e-05,5.72536e-05,5.72536e-05
28,3865.74,1.16737,1.46558,1.22129,0.60801,0.46028,0.49612,0.3413,1.20195,1.55207,1.21301,5.49172e-05,5.49172e-05,5.49172e-05
29,3918.49,1.16653,1.4561,1.21884,0.59292,0.46796,0.49595,0.34169,1.20423,1.54722,1.21208,5.25808e-05,5.25808e-05,5.25808e-05
30,3971,1.16582,1.44533,1.21533,0.6039,0.46166,0.49492,0.3424,1.196,1.54835,1.20951,5.02444e-05,5.02444e-05,5.02444e-05
