epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,106.189,1.10254,1.72422,1.19818,0.68168,0.4569,0.48468,0.31956,1.25384,1.23061,1.3034,0.00027691,0.00027691,0.00027691
2,176.335,1.17918,1.2411,1.21707,0.62246,0.41737,0.4557,0.29203,1.33917,1.29469,1.34821,0.000543596,0.000543596,0.000543596
3,234.132,1.26127,1.28333,1.26609,0.58459,0.40531,0.43868,0.27255,1.3901,1.37577,1.39168,0.000799287,0.000799287,0.000799287
4,272.256,1.29552,1.31847,1.28906,0.64626,0.38585,0.42087,0.26071,1.41501,1.4013,1.41679,0.00078352,0.00078352,0.00078352
5,320.014,1.304,1.31063,1.29745,0.56666,0.4408,0.44605,0.28159,1.37714,1.34766,1.38984,0.000767026,0.000767026,0.000767026
6,384.915,1.29253,1.28376,1.28183,0.60537,0.40436,0.4432,0.28429,1.37909,1.37758,1.3906,0.000750533,0.000750533,0.000750533
7,464.409,1.2816,1.27109,1.28586,0.65117,0.42513,0.47305,0.29985,1.37761,1.32862,1.376,0.00073404,0.00073404,0.00073404
8,534.499,1.27958,1.24847,1.27682,0.66027,0.42647,0.47131,0.29487,1.35493,1.29941,1.34803,0.000717546,0.000717546,0.000717546
9,609.824,1.2592,1.21588,1.2621,0.58257,0.46053,0.48906,0.31372,1.34922,1.31801,1.3437,0.000701053,0.000701053,0.000701053
10,692.521,1.25078,1.20445,1.26214,0.60744,0.42932,0.46165,0.28719,1.36449,1.26881,1.36393,0.000684559,0.000684559,0.000684559
11,760.021,1.25726,1.21586,1.26766,0.58629,0.4222,0.45475,0.3003,1.32037,1.26217,1.34639,0.000668066,0.000668066,0.000668066
12,807.43,1.24296,1.19158,1.25716,0.62005,0.4531,0.48565,0.32173,1.3154,1.237,1.33515,0.000651573,0.000651573,0.000651573
13,848.759,1.23527,1.17534,1.24889,0.59863,0.43701,0.48167,0.31912,1.31648,1.23569,1.32076,0.000635079,0.000635079,0.000635079
14,884.728,1.21915,1.16218,1.24601,0.54338,0.47898,0.48268,0.31808,1.30655,1.21385,1.31337,0.000618586,0.000618586,0.000618586
15,921.415,1.21326,1.14672,1.23582,0.6848,0.44469,0.49634,0.32578,1.29151,1.20484,1.31505,0.000602092,0.000602092,0.000602092
16,958.472,1.20499,1.12799,1.23263,0.664,0.4466,0.50622,0.33487,1.30778,1.18728,1.30809,0.000585599,0.000585599,0.000585599
17,996.444,1.20173,1.12041,1.22825,0.6618,0.45922,0.50238,0.33198,1.28533,1.18252,1.29569,0.000569106,0.000569106,0.000569106
18,1033.11,1.1868,1.09739,1.22079,0.64378,0.45644,0.5072,0.34183,1.27586,1.15701,1.29049,0.000552612,0.000552612,0.000552612
19,1067.36,1.1923,1.10002,1.2211,0.65118,0.4669,0.51176,0.33879,1.27267,1.14791,1.30332,0.000536119,0.000536119,0.000536119
20,1103.58,1.1848,1.07597,1.21425,0.60442,0.47973,0.50517,0.33678,1.27068,1.16692,1.2918,0.000519625,0.000519625,0.000519625
21,1138.23,1.16546,1.06802,1.20903,0.60626,0.46309,0.50885,0.33916,1.25933,1.14667,1.28909,0.000503132,0.000503132,0.000503132
